slot_id,fixture_id,repeat_id,profile_id,arm,total_budget_seconds,goal_invocation_limit_seconds,goal_reached,warmup_goal_reached,native_import_goal_reached,native_continuation_goal_reached,auxiliary_concrete_goal_confirmed,observation_end_seconds,charged_end_seconds,unused_budget_seconds,completed_sequences,partial_sequences,augmentation_status,accepted_seed_count,miss_or_hit_reason,sequence_new_count,state_new_count,coverage_new_count,event_stream_sha256
bounded_ledger/repeat-03/b32-symbolic-q150,bounded_ledger,3,b32-symbolic-q150,symbolic_augment,32.0,1.5,True,False,True,True,True,30.009687834033016,30.872432583011687,1.1275674169883132,3712,0,completed,1,native_import_goal_reached,2862,18,1,f699d2611a50ddbacf2791b60a37e0a2e478c3264484eb795f3498124c728629
bounded_ledger/repeat-03/b08-native,bounded_ledger,3,b08-native,native_resume,8.0,,False,False,False,False,False,6.01021558297649,6.248141125019174,1.751858874980826,674,0,not_applicable,0,native_continuation_no_goal,649,17,0,4524dddd647231350fae8d6cc7af43fbe3804b2c8cca975fc637bbe7436fe715
bounded_ledger/repeat-03/b08-concrete,bounded_ledger,3,b08-concrete,concrete_augment,8.0,,False,False,False,False,False,6.01166029198375,6.261256791942287,1.7387432080577128,523,0,no_candidate,0,no_candidate,505,17,0,2e8ea4ea98a14a1e9e521c1dbd3229a5d4cfc06bbc14c127608a992b79b0f2ba
bounded_ledger/repeat-04/b32-native,bounded_ledger,4,b32-native,native_resume,32.0,,False,False,False,False,False,30.00662979095964,30.881772749999072,1.1182272500009276,3965,0,not_applicable,0,native_continuation_no_goal,3598,10,0,ace03f8b044403ee541c4a707fe4fe3db0d79aabb67f9fa602329ddb70b57116
bounded_ledger/repeat-04/b32-concrete,bounded_ledger,4,b32-concrete,concrete_augment,32.0,,False,False,False,False,False,30.0154799569819,30.894469290971756,1.105530709028244,3866,0,no_candidate,0,no_candidate,3483,10,0,3bf2b9b87a52c4f4b1cbe405e7744bfb8de7d543088f664964a58263facab175
bounded_ledger/repeat-04/b32-symbolic-q075,bounded_ledger,4,b32-symbolic-q075,symbolic_augment,32.0,0.75,True,False,True,True,True,30.01552308403475,30.85257766704308,1.1474223329569213,3673,0,completed,2,native_import_goal_reached,2699,12,1,041d498fbe4c29eee40e84723d37629aceb1234e4dfa38b28c03f101738ce8dc
bounded_ledger/repeat-04/b32-symbolic-q050,bounded_ledger,4,b32-symbolic-q050,symbolic_augment,32.0,0.5,True,False,True,True,True,30.015838250001835,30.85176762501942,1.14823237498058,3642,0,completed,2,native_import_goal_reached,2697,12,1,2449a7d577afb1aa88c8873000debe8065ce2979c08e120fc594d51184064792
bounded_ledger/repeat-04/b32-symbolic-q150,bounded_ledger,4,b32-symbolic-q150,symbolic_augment,32.0,1.5,True,False,True,True,True,30.01647649999647,30.84973566699773,1.1502643330022693,3666,0,completed,2,native_import_goal_reached,2709,12,1,7df8de4f12cd0a75299f44a3734f40b64136200a8d44722a013f31c8818e7114
bounded_ledger/repeat-04/b08-native,bounded_ledger,4,b08-native,native_resume,8.0,,False,False,False,False,False,6.010388917997778,6.28979916695971,1.7102008330402896,672,0,not_applicable,0,native_continuation_no_goal,629,10,0,3445ced1d2a1105eb9025fe0a0edeed7b3bc5b56708477aec82c3b1f6cde68e4
bounded_ledger/repeat-04/b08-concrete,bounded_ledger,4,b08-concrete,concrete_augment,8.0,,False,False,False,False,False,6.005039373993519,6.223230042029172,1.7767699579708278,527,0,no_candidate,0,no_candidate,494,10,0,19b73dbc3bd796fa602203311ad85460e196c91188a0fdd4400f3f4694636d21
bounded_ledger/repeat-04/b08-symbolic-q075,bounded_ledger,4,b08-symbolic-q075,symbolic_augment,8.0,0.75,True,False,True,True,True,6.012034917986913,6.21272912499262,1.7872708750073798,358,0,completed,1,native_import_goal_reached,301,11,1,ec5176090aad948945352d32028171621f89b445977012bb3a87da810e0964d3
bounded_ledger/repeat-05/b32-concrete,bounded_ledger,5,b32-concrete,concrete_augment,32.0,,False,False,False,False,False,30.00785970796226,30.870457540964708,1.1295424590352923,3911,0,no_candidate,0,no_candidate,3635,15,17,d1adb93e0438b5ea01424aec8dc5e84f043fa7f1764d2989e33af71ec23539c4
bounded_ledger/repeat-05/b32-symbolic-q075,bounded_ledger,5,b32-symbolic-q075,symbolic_augment,32.0,0.75,True,False,True,True,True,30.016674834001087,30.862586875038687,1.1374131249613129,3652,0,completed,1,native_import_goal_reached,2808,16,18,e4d755fc8c2beb2946555edfe388189f9b88baeffa1ccb8bcdf554476fbad181
bounded_ledger/repeat-05/b32-symbolic-q050,bounded_ledger,5,b32-symbolic-q050,symbolic_augment,32.0,0.5,True,False,True,True,True,30.01101195804499,30.821898541005794,1.178101458994206,3676,0,completed,1,native_import_goal_reached,2907,16,18,834c6cd3249930531e6b702ae17bbef639886af25266ce8572a2e1532c27e639
